SMAC: 41:19:09:00:00:00 | DMAC: 30:30:3f:3f:fd:0d | SIP: 6.0.0.10 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 4d:ee:0e:66:5a:0a | DMAC: 380:80:54:54:10:0 | SIP: 15.0.0.0 | DIP: 15.0.0.0 | Ref Count: 1
SMAC: ca:80:00:64:2d:0d | DMAC: 370:70:fa:fa:fe:0 | SIP: 13.0.0.0 | DIP: 13.0.0.0 | Ref Count: 1
SMAC: 26:5b:0b:db:eb:0b | DMAC: 330:30:47:47:50:0 | SIP: 0.0.0.0 | DIP: 0.0.10.0 | Ref Count: 1
SMAC: 3e:19:09:7a:22:02 | DMAC: 2e0:e0:0b:0b:9c:0 | SIP: 3.0.0.0 | DIP: 0.0.3.0 | Ref Count: 1
SMAC: d0:42:02:e2:1e:0e | DMAC: 2d0:d0:27:27:53:0 | SIP: 6.0.0.0 | DIP: 0.0.0.0 | Ref Count: 5
SMAC: cb:35:05:ca:ee:0e | DMAC: 2a0:a0:bf:bf:f7:0 | SIP: 5.0.0.0 | DIP: 0.126.0.0 | Ref Count: 1
SMAC: d3:26:06:b6:6e:0e | DMAC: 290:90:bb:bb:5c:0 | SIP: 12.0.0.0 | DIP: 0.0.0.3 | Ref Count: 1
SMAC: 27:9e:0e:69:3a:0a | DMAC: 260:60:65:65:cf:0 | SIP: 14.14.14.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: e5:d5:05:19:f2:02 | DMAC: 250:50:b1:b1:d1:0 | SIP: 5.0.0.0 | DIP: 0.10.9.0 | Ref Count: 1
SMAC: 37:73:03:64:1b:0b | DMAC: 240:40:6b:6b:53:0 | SIP: 4.0.0.7 | DIP: 13.0.0.0 | Ref Count: 1
SMAC: 82:55:05:d2:35:05 | DMAC: 210:10:e6:e6:02:0 | SIP: 6.0.0.0 | DIP: 0.8.0.0 | Ref Count: 1
SMAC: 77:e9:09:c0:1f:0f | DMAC: 1e0:e0:35:35:95:0 | SIP: 8.5.5.0 | DIP: 0.0.13.0 | Ref Count: 1
SMAC: 6f:60:00:63:42:02 | DMAC: 1c0:c0:83:83:72:0 | SIP: 1.0.0.0 | DIP: 203.0.0.0 | Ref Count: 1
SMAC: 4b:c3:03:07:41:01 | DMAC: 1a0:a0:72:72:7f:0 | SIP: 11.0.0.0 | DIP: 0.0.0.0 | Ref Count: 5
SMAC: dc:44:04:99:3e:0e | DMAC: 160:60:ad:ad:ba:0 | SIP: 11.0.0.0 | DIP: 0.0.0.11 | Ref Count: 1
SMAC: 34:05:05:cc:2f:0f | DMAC: 140:40:be:be:c1:0 | SIP: 11.0.0.4 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 53:5c:0c:16:a2:02 | DMAC: 130:30:61:61:d1:0 | SIP: 8.10.10.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 80:96:06:65:d6:06 | DMAC: f0:f0:10:10:df:0f | SIP: 2.0.0.0 | DIP: 14.0.0.0 | Ref Count: 1
SMAC: 94:62:02:f3:fb:0b | DMAC: c0:c0:2e:2e:45:05 | SIP: 1.0.0.0 | DIP: 0.0.0.0 | Ref Count: 4
SMAC: f0:98:08:78:c9:09 | DMAC: 90:90:64:64:a0:00 | SIP: 4.13.13.0 | DIP: 0.0.0.0 | Ref Count: 2
SMAC: ff:59:09:ed:6b:0b | DMAC: 70:70:58:58:c0:00 | SIP: 8.0.0.0 | DIP: 0.0.0.0 | Ref Count: 13
SMAC: 53:d0:00:fc:99:09 | DMAC: 60:60:5c:5c:c0:00 | SIP: 4.0.0.0 | DIP: 0.0.0.0 | Ref Count: 2
SMAC: 83:80:00:c1:47:07 | DMAC: 50:50:06:06:a1:01 | SIP: 3.0.0.0 | DIP: 0.0.0.0 | Ref Count: 5
SMAC: fa:ec:0c:36:60:00 | DMAC: 40:40:3c:3c:38:08 | SIP: 15.0.0.0 | DIP: 6.0.0.0 | Ref Count: 1
SMAC: 08:39:09:48:a0:00 | DMAC: 30:30:e6:e6:02:02 | SIP: 14.0.0.0 | DIP: 0.0.0.0 | Ref Count: 6
SMAC: f4:48:08:01:bb:0b | DMAC: 20:20:c1:c1:8a:0a | SIP: 0.0.0.0 | DIP: 0.0.0.12 | Ref Count: 1
SMAC: e3:00:00:0d:be:0e | DMAC: 120:20:b1:b1:20:0 | SIP: 9.0.0.0 | DIP: 0.0.0.0 | Ref Count: 11
SMAC: 49:05:05:46:23:03 | DMAC: 100:00:33:33:a3:0 | SIP: 11.3.3.0 | DIP: 15.0.0.0 | Ref Count: 1
SMAC: e3:1c:0c:ef:c7:07 | DMAC: f0:f0:e2:e2:0b:0b | SIP: 3.0.0.0 | DIP: 0.0.10.0 | Ref Count: 1
SMAC: 99:21:01:22:0c:0c | DMAC: e0:e0:49:49:a8:08 | SIP: 12.0.0.0 | DIP: 0.0.0.0 | Ref Count: 9
SMAC: ec:ba:0a:ee:26:06 | DMAC: d0:d0:b9:b9:a9:09 | SIP: 3.0.0.0 | DIP: 0.0.0.13 | Ref Count: 1
SMAC: 22:6d:0d:82:67:07 | DMAC: a0:a0:36:36:a6:06 | SIP: 8.6.6.0 | DIP: 0.0.0.157 | Ref Count: 1
SMAC: ce:9b:0b:0e:33:03 | DMAC: 90:90:dc:dc:98:08 | SIP: 11.0.0.0 | DIP: 0.13.0.0 | Ref Count: 1
SMAC: 75:3e:0e:a4:1f:0f | DMAC: 70:70:32:32:99:09 | SIP: 10.2.2.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: d4:3c:0c:34:1b:0b | DMAC: 60:60:84:84:40:00 | SIP: 1.0.0.0 | DIP: 4.0.0.0 | Ref Count: 1
SMAC: 72:f5:05:90:85:05 | DMAC: 50:50:9f:9f:9e:0e | SIP: 11.0.0.0 | DIP: 0.0.12.0 | Ref Count: 1
SMAC: d0:ff:0f:92:27:07 | DMAC: 40:40:2f:2f:fb:0b | SIP: 5.0.0.0 | DIP: 0.0.0.0 | Ref Count: 11
SMAC: ff:24:04:01:bb:0b | DMAC: 20:20:c3:c3:63:03 | SIP: 7.0.0.0 | DIP: 0.0.0.0 | Ref Count: 4
SMAC: de:a6:06:3f:70:00 | DMAC: 80:80:0a:0a:c0:00 | SIP: 0.0.0.0 | DIP: 0.0.0.0 | Ref Count: 25
SMAC: 98:7d:0d:f7:9b:0b | DMAC: 70:70:46:46:53:03 | SIP: 14.15.15.0 | DIP: 0.0.0.0 | Ref Count: 1
SMAC: 53:4d:0d:81:fa:0a | DMAC: 60:60:e5:e5:84:04 | SIP: 13.0.0.0 | DIP: 0.0.0.0 | Ref Count: 6
SMAC: d8:ec:0c:6b:bb:0b | DMAC: 50:50:ca:ca:62:02 | SIP: 1.0.0.0 | DIP: 0.14.0.0 | Ref Count: 1
SMAC: df:ca:0a:6a:ab:0b | DMAC: 40:40:98:98:1e:0e | SIP: 2.0.0.0 | DIP: 0.0.0.0 | Ref Count: 6
SMAC: 79:d2:02:ae:a1:01 | DMAC: 30:30:9d:9d:58:08 | SIP: 15.0.0.0 | DIP: 0.0.0.0 | Ref Count: 13
SMAC: ff:24:04:01:bb:0b | DMAC: 20:20:c3:c3:63:03 | SIP: 7.0.0.0 | DIP: 0.0.0.13 | Ref Count: 1
SMAC: 9a:56:06:40:00:00 | DMAC: 10:10:00:00:80:00 | SIP: 10.0.0.0 | DIP: 0.0.0.0 | Ref Count: 12
SMAC: 62:bb:0b:a4:99:09 | DMAC: 00:00:98:98:45:05 | SIP: 0.0.0.11 | DIP: 0.0.0.0 | Ref Count: 7
